slide1_hook,slide1_subtitle,slide2_body,slide3_body,slide4_cta
Things that are absolutely not normal in other jobs but are completely |Tuesday| in an aesthetics clinic,"If you work in aesthetics you already know. If you don't, buckle up.",I have had a grown adult cry because their lips looked too natural. I have had someone bring in a photo of a Love Island contestant and say that's the vibe. I have dissolved filler at 9am on a Monday morning while someone ate a croissant in my chair. None of this is unusual. All of this is Tuesday.,The thing about working in aesthetics is that you develop a very particular kind of calm. You learn to keep your face completely neutral while someone describes what they want and you are already mentally composing the very gentle conversation you are about to have about why that is not going to happen. It is a skill. It takes years. I have earned it.,Reply TUESDAY
If you've been chasing |Hydration| through every serum and moisturiser on the market and still feel like something's missing,Your skincare budget deserves an honest conversation and I am going to have it with you.,There is a point at which no amount of topical product is going to fix what is happening underneath your skin and I say this with enormous affection for a good serum. If your skin feels permanently thirsty regardless of what you put on it the issue is almost certainly not what you are putting on it. The issue is what is happening at a structural level that no moisturiser on earth can reach.,Polynucleotides and profhilo work at a depth that your skincare simply cannot. They don't sit on top of your skin. They work inside it. They stimulate your skin's own ability to produce hyaluronic acid and collagen from within. Which means the results look and feel completely different to anything you've applied from a bottle. If this sounds like the conversation you've been needing drop me a message and let's talk properly.,Reply HYDRATE
Women are being |preyed on| by this industry every single day and the fact we're all just quietly accepting it is making me furious,I am going to say the thing that a lot of people in this industry are too worried about their reputation to say.,There are people operating in this industry right now who are not qualified to be anywhere near a face. There are products being used that are not licensed for use in this country. There are before and after photos being posted that have been manipulated in ways that should be illegal. And women are handing over their money and their trust and in some cases their faces and nobody is protecting them adequately.,"I have spent 7 years doing this properly. Compliantly. Safely. And I will never stop being angry on behalf of the women who went somewhere cheaper and paid a price that had nothing to do with money. You deserve a practitioner who is regulated, insured, trained, and honest. If you are ever unsure about anyone you are considering booking with please come and ask me. I will always tell you the truth.",Reply SAFE
Things we need to start telling |Gen Z| about getting older,As someone who has watched an entire generation grow up thinking preventative aesthetics means starting at 21 I have some thoughts.,I genuinely worry about the information that young women are consuming about ageing and aesthetics. The idea that you need to start having treatments in your early twenties to prevent the ageing process is not only medically questionable it is the aesthetics industry monetising insecurity in the most cynical way imaginable and I will not pretend otherwise.,What I would tell a 21 year old is this. Wear SPF every single day without fail. Drink water. Stop smoking if you smoke. Learn to love your face while it is doing nothing but being young and unlined and wonderful. The treatments will be there when you actually need them and a good practitioner will tell you honestly when that is. Anyone telling you that you need intervention at 21 is not looking after you. They are looking after their books.,Reply YOUNGSKIN
Bet you didn't know that most people asking for |under eye| treatment actually need their cheeks addressing first,The eyes are getting blamed for something that started somewhere completely different and it is time to clear their name.,When someone sits in my chair and points at their under eyes and says I hate these I always look at their cheeks first. Because in the majority of cases what looks like an under eye problem is actually a mid face volume problem. As the cheeks lose volume they pull the under eye area down with them. The shadows appear. The hollows develop. And everyone blames the eyes.,Treating the under eyes directly when the problem is actually in the cheeks is like painting over a damp wall. You might not see the problem for a while but it will come back. Restoring volume to the mid face lifts and supports the whole eye area naturally and the results are so much more harmonious. This is why a proper consultation with someone who looks at the whole face rather than just where you are pointing is absolutely non-negotiable.,Reply CHEEKS
I wish more women knew this about |menopausal skin|,There is so much information available about menopause and almost none of it mentions what happens to your actual face and I find that remarkable.,"Oestrogen is responsible for keeping your skin thick, plump, hydrated, and elastic. When oestrogen declines your skin loses collagen at a rate that is genuinely startling. Studies suggest women lose up to 30 percent of their skin collagen in the first five years after menopause. Thirty percent. And yet the conversation about menopause almost never includes a single mention of skin.","What this means practically is that the skincare routine that worked in your 30s is not equipped to deal with what is happening in your 40s and 50s. Your skin has different needs now. It needs more support, more targeted ingredients, and in many cases professional treatment alongside a good home routine. If nobody has had this conversation with you before now I am genuinely sorry about that and also very glad you found your way here.",Reply MENOSKIN
Things that are ageing your face faster than |ageing| is ageing your face,Ageing gets blamed for a lot of things it is not entirely responsible for and I think it deserves a partial defence.,"Chronic stress floods your body with cortisol which breaks down collagen and elastin, disrupts your skin barrier, and causes inflammation that accelerates every visible sign of ageing. Poor sleep does something similar. Smoking does it catastrophically. Sun exposure without SPF is responsible for an estimated 80 percent of visible facial ageing and yet somehow we still need to have this conversation in 2025.","Then there is the screen situation. Squinting at phones, looking down at laptops, the repetitive expressions we make dozens of times a day all of these contribute to lines in specific places that pure ageing would not necessarily create. I am not saying don't live your life. I am saying that some of what you are attributing to getting older is actually lifestyle and some of it is within your control and I'd love to talk to you about what we can actually do about it.",Reply AGEFAST
If |perimenopause| were a person it would be the one who rearranges your entire kitchen while you're asleep,Nobody warned us that it would start this early or be this sneaky and I think that deserves to be said out loud.,"Perimenopause can start in your late 30s. Most women have absolutely no idea. They just notice that their sleep is a bit off, their skin seems different, their mood is doing things it has never done before, and they feel vaguely unlike themselves in a way they cannot quite name. And then someone mentions perimenopause and everything clicks into place and there is this enormous mix of relief and fury that nobody told them sooner.","The skin changes that come with perimenopause are real, significant, and very treatable. Reduced oestrogen means reduced collagen, reduced elasticity, slower cell turnover, and increased dryness. Your skin is not betraying you. It is responding to a hormonal shift that nobody prepared you for. Understanding what is happening is the first step to doing something about it and I am always here for that conversation.",Reply PERI
Things I cannot in good conscience recommend as an aesthetic injector no matter how many times I get asked,There are things in this industry I will never offer and I'd rather lose the booking than compromise on this.,Tear trough filler on someone who is not an appropriate candidate. I get asked for this constantly. And I understand why because under eye hollows are genuinely distressing. But tear trough filler in the wrong person or placed by the wrong hands is one of the most common sources of serious complications I see come through my door having been done elsewhere. If I tell you that you are not suitable it is because I am looking after you not turning you away.,Excessive lip filler that crosses from enhancement into distortion. Treatments from unregulated suppliers that I cannot verify. Anything that a client has seen on social media that has been achieved through a filter rather than a needle. And any treatment requested by someone who I believe is in a vulnerable state of mind. These are not negotiable. They are the lines I draw because I care more about your face and your safety than I care about the transaction.,Reply HONEST
Be honest: how long did you debate with yourself before booking your |first| aesthetics appointment,I ask every single new client this question and the answers never stop being interesting.,Some women tell me they thought about it for a week. Some tell me years. One client told me she had my number saved in her phone for two years before she finally pressed call and she spent the first five minutes of the consultation apologising for taking so long as if I had been sitting here waiting impatiently. I had not. I was just glad she came.,"The thing that stops most women is not the cost and it is not even the fear of the treatment. It is the fear of being judged for wanting it. The worry that someone will think they are vain or shallow or not grateful enough for what they have. I want to say this clearly: I have never once judged a woman for sitting in my chair. Not once. The only thing I think when someone walks through that door is good, you showed up for yourself. It's about time.",Reply FIRSTTIME
